PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,Season_Year,injured,PLAYER_ID_run,TEAM_ABBREVIATION_run,GP_run,MIN,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON_TYPE
2738,Andre Iguodala,GSW,30,78,207,63,9.3,4.7,4.2,13.5,0.027,0.112,0.133,0.57,0.17,2013-14,2013,TRUE,2738,GSW,63,32.38,2.24,1.14,1.1,4.2,4.54,3.89,Regular Season
2738,Andre Iguodala,GSW,30,78,207,63,9.3,4.7,4.2,13.5,0.027,0.112,0.133,0.57,0.17,2013-14,2013,TRUE,2738,GSW,7,35.45,2.46,1.22,1.25,4.17,4.36,4,Playoffs
1889,Andre Miller,WAS,38,74,200,58,4.9,2.2,3.4,2.2,0.029,0.1,0.148,0.534,0.307,2013-14,2013,FALSE,1889,WAS,57,16.99,1.09,0.59,0.5,3.86,4.18,3.54,Regular Season
1889,Andre Miller,WAS,38,74,200,58,4.9,2.2,3.4,2.2,0.029,0.1,0.148,0.534,0.307,2013-14,2013,FALSE,1889,WAS,11,9.81,0.68,0.37,0.31,4.12,4.3,3.93,Playoffs
203460,Andre Roberson,OKC,22,79,210,40,1.9,2.4,0.4,3.2,0.096,0.135,0.099,0.518,0.051,2013-14,2013,TRUE,203460,OKC,40,9.98,0.77,0.37,0.4,4.64,4.74,4.54,Regular Season
203460,Andre Roberson,OKC,22,79,210,40,1.9,2.4,0.4,3.2,0.096,0.135,0.099,0.518,0.051,2013-14,2013,TRUE,203460,OKC,2,4.41,0.32,0.14,0.18,4.08,5.03,4.57,Playoffs
200745,Andrea Bargnani,NYK,28,84,250,42,13.3,5.3,1.1,-6.1,0.053,0.137,0.22,0.51,0.063,2013-14,2013,TRUE,200745,NYK,42,29.93,1.89,1,0.89,3.81,3.88,3.73,Regular Season
1905,Andrei Kirilenko,BKN,33,81,235,45,5,3.2,1.6,-2.9,0.068,0.116,0.142,0.532,0.131,2013-14,2013,TRUE,1905,BKN,44,19,1.36,0.73,0.63,4.34,4.54,4.12,Regular Season
1905,Andrei Kirilenko,BKN,33,81,235,45,5,3.2,1.6,-2.9,0.068,0.116,0.142,0.532,0.131,2013-14,2013,TRUE,1905,BKN,10,14.45,1.02,0.55,0.47,4.25,4.55,3.94,Playoffs
101106,Andrew Bogut,GSW,29,84,260,67,7.3,10,1.7,9,0.107,0.264,0.123,0.61,0.087,2013-14,2013,TRUE,101106,GSW,66,26.45,1.72,0.9,0.82,3.93,4.33,3.56,Regular Season
101115,Andrew Bynum,IND,26,84,285,26,8.7,5.6,1.1,-12.7,0.095,0.174,0.237,0.456,0.099,2013-14,2013,TRUE,101115,IND,26,19.83,1.21,0.64,0.57,3.72,3.78,3.64,Regular Season
203094,Andrew Nicholson,ORL,24,81,250,76,5.7,3.4,0.3,-6.8,0.045,0.169,0.191,0.489,0.037,2013-14,2013,FALSE,203094,ORL,76,15.44,1.07,0.57,0.51,4.19,4.41,3.97,Regular Season
2740,Andris Biedrins,UTA,28,84,250,6,0.5,2.8,0,-1.9,0.041,0.319,0.056,0.412,0,2013-14,2013,TRUE,2740,UTA,6,7.43,0.51,0.28,0.23,4.17,4.71,3.66,Regular Season
1712,Antawn Jamison,LAC,38,81,235,22,3.8,2.5,0.3,10.8,0.034,0.174,0.196,0.408,0.047,2013-14,2013,FALSE,1712,LAC,22,11.25,0.83,0.44,0.4,4.45,4.93,4.01,Regular Season
203461,Anthony Bennett,CLE,21,80,259,52,4.2,3,0.3,-5.7,0.068,0.16,0.194,0.425,0.043,2013-14,2013,FALSE,203461,CLE,52,12.74,0.92,0.49,0.43,4.33,4.78,3.91,Regular Season
203076,Anthony Davis,NOP,21,82,220,67,20.8,10,1.6,-2.1,0.091,0.208,0.25,0.582,0.078,2013-14,2013,TRUE,203076,NOP,67,35.19,2.42,1.28,1.14,4.13,4.36,3.91,Regular Season
201627,Anthony Morrow,NOP,28,77,210,76,8.4,1.8,0.8,1.2,0.02,0.081,0.188,0.57,0.069,2013-14,2013,FALSE,201627,NOP,76,18.76,1.3,0.7,0.6,4.15,4.36,3.93,Regular Season
201576,Anthony Randolph,DEN,24,83,225,43,4.8,2.8,0.7,-9.3,0.036,0.185,0.196,0.499,0.104,2013-14,2013,FALSE,201576,DEN,43,12.26,0.86,0.45,0.41,4.22,4.63,3.85,Regular Season
